Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Walmart Price,Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
Garlic Cloves,0.73,All Groceries,Produce,"Shelf, Perishable",,2 bulbs,"Garlic bulbs, Fresh World",,,0.61,,,Shoppers Value,
Lemons,0.67,All Groceries,Produce,"Shelf, Perishable",,each,lemon,,,0.56,,,Shoppers Value,
Lime,0.49,All Groceries,Produce,"Shelf, Perishable",,each,lime,,,0.41,,,Shoppers Value,
Apple,1.97,All Groceries,Produce,"Shelf, Perishable",,per pound,"Apple, Fugi",,,1.64,,,Shoppers Value,
Broccoli,2.34,All Groceries,Produce,"Shelf, Perishable",,per pound,"Broccoli, crown",,,1.95,,,Shoppers Value,
Salad,3.28,All Groceries,Produce,"Shelf, Perishable",Fresh Express,6 oz,"Salad mix, 5 lettuce",,,2.73,,,Shoppers Value,
Salad,3.28,All Groceries,Produce,"Shelf, Perishable",Fresh Express,11 oz,"salad mix, veggie lovers",,,2.73,,,Shoppers Value,
Crackers,2.69,All Groceries,Snack,"Shelf, Stable",Sunshine,7 oz,"Crackers, Cheez-It",,,2.24,,,Shoppers Value,
Crackers,3.68,All Groceries,Snack,"Shelf, Stable",Nabisco,16 oz,"crackers, saltines, Nabisco",,,3.07,,,Shoppers Value,
Crackers,1.69,All Groceries,Snack,"Shelf, Stable",store brand,16 oz,"crackers, saltines, store brand",,,1.41,,,Shoppers Value,
Crackers,4.62,All Groceries,Snack,"Shelf, Stable",Nabisco,13.7 oz,"crackers, Ritz",,,3.85,,,Shoppers Value,
Crackers,4.27,All Groceries,Snack,"Shelf, Stable",Nabisco,9.1 oz,"crackers, Wheat Thins, original",,,3.56,,,Shoppers Value,
Crackers,4.27,All Groceries,Snack,"Shelf, Stable",Nabisco,9 oz,"crackers, Triscuits, original",,,3.56,,,Shoppers Value,
Crackers,4.84,All Groceries,Snack,"Shelf, Stable",Nabisco,14.4 oz,"crackers, Honey Made graham",,,4.03,,,Shoppers Value,
Crackers,2.18,All Groceries,Snack,"Shelf, Stable",store brand,14.4 oz,"crackers, store brand graham",,,1.82,,,Shoppers Value,
Marshmallows,1.6,All Groceries,Snack,"Shelf, Stable",,10 oz,"marshmallow, Campfire",,,1.33,,,Shoppers Value,
Marshmallows,0.97,All Groceries,Snack,"Shelf, Stable",,10 oz,"marshmallow, store brand",,,0.81,,,Shoppers Value,
Chocolate Bars,5.63,All Groceries,Snack,"Shelf, Stable",Hershey's ,"6-pack, 9.3 oz",Chocolate bars,,,4.69,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Homemade Vanilla,,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Chocolate,,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Butter Pecan,,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Cookies & Cream,,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Black Cherry,,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Rocky Road,,,4.88,,,Shoppers Value,
