Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Walmart Price,Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
Garlic Cloves,0.73,All Groceries,Produce,"Shelf, Perishable",,2 bulbs,"Garlic bulbs, Fresh World",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Garlic-Cloves.jpg,,0.61,,,Shoppers Value,
Lemons,0.67,All Groceries,Produce,"Shelf, Perishable",,each,lemon,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Lemons.jpg,,0.56,,,Shoppers Value,
Lime,0.49,All Groceries,Produce,"Shelf, Perishable",,each,lime,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Limes.jpg,,0.41,,,Shoppers Value,
Apple,1.97,All Groceries,Produce,"Shelf, Perishable",,per pound,"Apple, Fugi",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fuji-apples.jpg,,1.64,,,Shoppers Value,
Broccoli,2.34,All Groceries,Produce,"Shelf, Perishable",,per pound,"Broccoli, crown",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/broccoli-crown.jpg,,1.95,,,Shoppers Value,
Salad,3.28,All Groceries,Produce,"Shelf, Perishable",Fresh Express,6 oz,"Salad mix, 5 lettuce",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Fresh-Express-5-Lettuce-Mix.jpg,,2.73,,,Shoppers Value,
Salad,3.28,All Groceries,Produce,"Shelf, Perishable",Fresh Express,11 oz,"salad mix, veggie lovers",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Fresh-Express-Veggie-Lover's-Lettuce.jpg,,2.73,,,Shoppers Value,
Crackers,2.69,All Groceries,Snack,"Shelf, Stable",Sunshine,7 oz,"Crackers, Cheez-It",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Cheez-It-Baked-Snack-Crackers-Original.jpg,,2.24,,,Shoppers Value,
Crackers,3.68,All Groceries,Snack,"Shelf, Stable",Nabisco,16 oz,"crackers, saltines, Nabisco",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Nabisco-Original-Premium-Saltine-Crackers.jpg,,3.07,,,Shoppers Value,
Crackers,1.69,All Groceries,Snack,"Shelf, Stable",store brand,16 oz,"crackers, saltines, store brand",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Saltine-Crackers-Store-Brand.jpg,,1.41,,,Shoppers Value,
Crackers,4.62,All Groceries,Snack,"Shelf, Stable",Nabisco,13.7 oz,"crackers, Ritz",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Nabisco-Ritz-Crackers.jpg,,3.85,,,Shoppers Value,
Crackers,4.27,All Groceries,Snack,"Shelf, Stable",Nabisco,9.1 oz,"crackers, Wheat Thins, original",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Wheat-Thins-Original-Crackers.jpg,,3.56,,,Shoppers Value,
Crackers,4.27,All Groceries,Snack,"Shelf, Stable",Nabisco,9 oz,"crackers, Triscuits, original",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Triscuit-Original-Crackers.jpg,,3.56,,,Shoppers Value,
Crackers,4.84,All Groceries,Snack,"Shelf, Stable",Nabisco,14.4 oz,"crackers, Honey Made graham",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Honey-Maid-Honey-Grahams-Graham-Crackers,,4.03,,,Shoppers Value,
Crackers,2.18,All Groceries,Snack,"Shelf, Stable",store brand,14.4 oz,"crackers, store brand graham",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Graham-Crackers-store-brand.jpg,,1.82,,,Shoppers Value,
Marshmallows,1.6,All Groceries,Snack,"Shelf, Stable",,10 oz,"marshmallow, Campfire",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Campfire-Marshmallows.jpg,,1.33,,,Shoppers Value,
Marshmallows,0.97,All Groceries,Snack,"Shelf, Stable",,10 oz,"marshmallow, store brand",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Marshmallows-Store-Brand.jpg,,0.81,,,Shoppers Value,
Chocolate Bars,5.63,All Groceries,Snack,"Shelf, Stable",Hershey's ,"6-pack, 9.3 oz",Chocolate bars,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Hersheys-Milk-Chocolate-Bars-6-Pack.jpg,,4.69,,,Shoppers Value,
