Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
Whole Milk,4.21,All Groceries,Dairy,Refrigerated,Store Brand ,,"Whole, 1 gallon ",/wp-content/uploads/2016/11/fridge-whole-milk-gallon.jpg,3.51,,,Shoppers Value,Published
Whole Milk,2.66,All Groceries,Dairy,Refrigerated,Store Brand ,,"Whole, 1/2 gallon",/wp-content/uploads/2016/11/fridge-whole-milk-half-gallon.jpg,2.22,,,Shoppers Value,Published
2% Milk,3.98,All Groceries,Dairy,Refrigerated,Store Brand,,"2%, 1 gallon ",/wp-content/uploads/2016/11/Fridge-2-percent-gallon-milk.jpg,3.32,,,Shoppers Value,Published
2% Milk,2.45,All Groceries,Dairy,Refrigerated,Store Brand,,"2%, 1/2 gallon",/wp-content/uploads/2016/11/Fridge-2-percent-half-gallon-milk.jpg,2.04,,,Shoppers Value,Published
Chocolate Milk,3.16,All Groceries,Dairy,Refrigerated,Store Brand,,"Chocolate, whole, 1/2 gallon",/wp-content/uploads/2016/11/Chocolate_Half.jpg,2.63,,,Shoppers Value,Published
Soy Milk,4.27,All Groceries,Dairy,Refrigerated,Silk,,"Original, 1/2 gallon",/wp-content/uploads/2016/11/Silk.jpg,3.56,,,Shoppers Value,Published
Almond Milk,4.27,All Groceries,Dairy,Refrigerated,Blue Diamond Original,,"Sweetened, 1/2 gallon",/wp-content/uploads/2016/11/fridge-blue-diamond-milk.jpg,3.56,,,Shoppers Value,Published
Half & Half,3.98,All Groceries,Dairy,Refrigerated,Land O Lakes,,1 quart,/wp-content/uploads/2016/11/Land-o-Lakes-quart.jpg,3.32,,,Shoppers Value,Published
Half & Half,2.59,All Groceries,Dairy,Refrigerated,Store Brand,,1 quart,/wp-content/uploads/2016/11/halfhalf.jpg,2.16,,,Shoppers Value,Published
Salted Butter,5.64,All Groceries,Dairy,Refrigerated,Land O Lakes,,"salted, 1 pound",/wp-content/uploads/2016/11/LOL-butter.jpg,4.7,,,Shoppers Value,Published
Salted Butter,4.43,All Groceries,Dairy,Refrigerated,Store Brand,,"salted, 1 pound",/wp-content/uploads/2016/11/generic-butter.jpg,3.69,,,Shoppers Value,Published
Fat -Free Yogurt,2.56,All Groceries,Dairy,Refrigerated,Store Brand,,"plain, fat free, 32 ounce",/wp-content/uploads/2016/11/fridge-yogurt-32-oz.jpg,2.13,,,Shoppers Value,Published
Yogurt - Vanilla ,6.16,All Groceries,Dairy,Refrigerated,Oikos,,"vanilla, 32 ounce",/wp-content/uploads/2016/11/Oikos-32-oz-van-yogurt.jpg,5.13,,,Shoppers Value,Published
Greek Yogurt - Plain,6.58,All Groceries,Dairy,Refrigerated,Chobani,,"Greek, 32 ounce",/wp-content/uploads/2016/11/Chobani-greek-yogurt-32-oz.jpg,5.48,,,Shoppers Value,Published
Greek Yogurt - Peach,1.3,All Groceries,Dairy,Refrigerated,Chobani,,"Greek, peach, 5.3 ounce",/wp-content/uploads/2016/11/Chobani-peach-5.3.jpg,1.08,,,Shoppers Value,Published
Greek Yogurt - Blueberry,1.3,All Groceries,Dairy,Refrigerated,Chobani,,"Greek, blueberry, 5.3 ounce",/wp-content/uploads/2016/11/Chobani-blueberry.jpg,1.08,,,Shoppers Value,Published
Yogurt - Strawberry,0.86,All Groceries,Dairy,Refrigerated,Yoplait original,,"strawberry, 6 ounce",/wp-content/uploads/2016/11/fridge-yoplait-strawberry-yogurt.jpg,0.72,,,Shoppers Value,Published
