,Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Walmart Price,Shoppers Value,Willow Grove,Main Street Bakery
"Whole, 1 Gallon ",Whole Milk,4.47,All Groceries,Dairy,Refrigerated,Store Brand ,,"Whole, 1 gallon ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-whole-milk-gallon.jpg,3.69,3.51,,
Milk,Whole Milk,2.69,All Groceries,Dairy,Refrigerated,Store Brand ,,"Whole, 1/2 gallon",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-whole-milk-half-gallon.jpg,2.21,2.22,,
Milk,2% Milk,4.23,All Groceries,Dairy,Refrigerated,Store Brand,,"2%, 1 gallon ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge-2-percent-gallon-milk.jpg,3.49,3.32,,
Milk,2% Milk,2.67,All Groceries,Dairy,Refrigerated,Store Brand,,"2%, 1/2 gallon",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge-2-percent-half-gallon-milk.jpg,2.2,2.04,,
Milk,Chocolate Milk,3.19,All Groceries,Dairy,Refrigerated,Store Brand,,"Chocolate, whole, 1/2 gallon",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Chocolate_Half.jpg,2.21,2.63,,
Soy Milk,Soy Milk,4.31,All Groceries,Dairy,Refrigerated,Silk,,"Original, 1/2 gallon",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Silk.jpg,3.26,3.56,,
Almond Milk,Almond Milk,4.31,All Groceries,Dairy,Refrigerated,Blue Diamond Original,,"Sweetened, 1/2 gallon",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-blue-diamond-milk.jpg,2.97,3.56,,
Half & Half,Half & Half,4.02,All Groceries,Dairy,Refrigerated,Land O Lakes,,1 quart,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Land-o-Lakes-quart.jpg,2.68,3.32,,
Half & Half,Half & Half,2.62,All Groceries,Dairy,Refrigerated,Store Brand,,1 quart,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/halfhalf.jpg,1.98,2.16,,
Butter,Salted Butter,6.35,All Groceries,Dairy,Refrigerated,Land O Lakes,,"salted, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/LOL-butter.jpg,5.24,4.7,,
Butter,Salted Butter,4.47,All Groceries,Dairy,Refrigerated,Store Brand,,"salted, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/generic-butter.jpg,3.64,3.69,,
Yogurt,Fat -Free Yogurt,2.58,All Groceries,Dairy,Refrigerated,Store Brand,,"plain, fat free, 32 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-yogurt-32-oz.jpg,,2.13,,
Yogurt,Yogurt - Vanilla ,6.21,All Groceries,Dairy,Refrigerated,Oikos,,"vanilla, 32 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Oikos-32-oz-van-yogurt.jpg,4.94,5.13,,
Yogurt,Greek Yogurt - Plain,6.64,All Groceries,Dairy,Refrigerated,Chobani,,"Greek, 32 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Chobani-greek-yogurt-32-oz.jpg,,5.48,,
Yogurt,Greek Yogurt - Peach,1.31,All Groceries,Dairy,Refrigerated,Chobani,,"Greek, peach, 5.3 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Chobani-peach-5.3.jpg,1,1.08,,
Yogurt,Greek Yogurt - Blueberry,1.31,All Groceries,Dairy,Refrigerated,Chobani,,"Greek, blueberry, 5.3 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Chobani-blueberry.jpg,1,1.08,,
Yogurt,Yogurt - Strawberry,0.88,All Groceries,Dairy,Refrigerated,Yoplait original,,"strawberry, 6 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-yoplait-strawberry-yogurt.jpg,0.66,0.72,,
Yogurt,Yogurt - Peach,0.88,All Groceries,Dairy,Refrigerated,Yoplait original,,"peach, 6 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-yoplait-original-harvest-peach-thumb.jpg,0.66,0.72,,
